num_elements,num_element_nodes,h,error_l2,error_energy
2,2,0.500000,1.826481,1.926041
3,2,0.333333,0.938629,1.451162
4,2,0.250000,0.594839,1.213226
5,2,0.200000,0.420193,1.065076
6,2,0.166667,0.317229,0.961519
7,2,0.142857,0.250512,0.883814
8,2,0.125000,0.204357,0.822665
9,2,0.111111,0.170853,0.772877
10,2,0.100000,0.145619,0.731291
11,2,0.090909,0.126050,0.695859
12,2,0.083333,0.110510,0.665187
13,2,0.076923,0.097924,0.638289
14,2,0.071429,0.087562,0.614444
15,2,0.066667,0.078909,0.593112
16,2,0.062500,0.071595,0.573876
2,3,0.500000,0.571018,1.145033
3,3,0.333333,0.310693,0.933301
4,3,0.250000,0.201768,0.807714
5,3,0.200000,0.144362,0.722197
6,3,0.166667,0.109815,0.659144
7,3,0.142857,0.087142,0.610175
8,3,0.125000,0.071323,0.570719
9,3,0.111111,0.059771,0.538048
10,3,0.100000,0.051033,0.510415
11,3,0.090909,0.044227,0.486646
12,3,0.083333,0.038817,0.465916
13,3,0.076923,0.034426,0.447629
14,3,0.071429,0.030794,0.431339
15,3,0.066667,0.027768,0.416708
16,3,0.062500,0.025207,0.403471
2,4,0.500000,0.315649,0.943805
3,4,0.333333,0.170391,0.765681
4,4,0.250000,0.110320,0.661416
5,4,0.200000,0.078815,0.590835
6,4,0.166667,0.059858,0.538961
7,4,0.142857,0.047484,0.498749
8,4,0.125000,0.038856,0.466392
9,4,0.111111,0.032558,0.439621
10,4,0.100000,0.027788,0.416993
11,4,0.090909,0.024077,0.397539
12,4,0.083333,0.021120,0.380578
13,4,0.076923,0.018722,0.365620
14,4,0.071429,0.016746,0.352298
15,4,0.066667,0.015084,0.340336
16,4,0.062500,0.013678,0.329515
