nen,n,x,y
2,0,-1.000000,1.000000
2,0,-0.991968,0.995984
2,0,-0.983936,0.991968
2,0,-0.975904,0.987952
2,0,-0.967871,0.983936
2,0,-0.959839,0.979920
2,0,-0.951807,0.975904
2,0,-0.943775,0.971888
2,0,-0.935743,0.967871
2,0,-0.927711,0.963855
2,0,-0.919679,0.959839
2,0,-0.911647,0.955823
2,0,-0.903614,0.951807
2,0,-0.895582,0.947791
2,0,-0.887550,0.943775
2,0,-0.879518,0.939759
2,0,-0.871486,0.935743
2,0,-0.863454,0.931727
2,0,-0.855422,0.927711
2,0,-0.847390,0.923695
2,0,-0.839357,0.919679
2,0,-0.831325,0.915663
2,0,-0.823293,0.911647
2,0,-0.815261,0.907631
2,0,-0.807229,0.903614
2,0,-0.799197,0.899598
2,0,-0.791165,0.895582
2,0,-0.783133,0.891566
2,0,-0.775100,0.887550
2,0,-0.767068,0.883534
2,0,-0.759036,0.879518
2,0,-0.751004,0.875502
2,0,-0.742972,0.871486
2,0,-0.734940,0.867470
2,0,-0.726908,0.863454
2,0,-0.718876,0.859438
2,0,-0.710843,0.855422
2,0,-0.702811,0.851406
2,0,-0.694779,0.847390
2,0,-0.686747,0.843373
2,0,-0.678715,0.839357
2,0,-0.670683,0.835341
2,0,-0.662651,0.831325
2,0,-0.654618,0.827309
2,0,-0.646586,0.823293
2,0,-0.638554,0.819277
2,0,-0.630522,0.815261
2,0,-0.622490,0.811245
2,0,-0.614458,0.807229
2,0,-0.606426,0.803213
2,0,-0.598394,0.799197
2,0,-0.590361,0.795181
2,0,-0.582329,0.791165
2,0,-0.574297,0.787149
2,0,-0.566265,0.783133
2,0,-0.558233,0.779116
2,0,-0.550201,0.775100
2,0,-0.542169,0.771084
2,0,-0.534137,0.767068
2,0,-0.526104,0.763052
2,0,-0.518072,0.759036
2,0,-0.510040,0.755020
2,0,-0.502008,0.751004
2,0,-0.493976,0.746988
2,0,-0.485944,0.742972
2,0,-0.477912,0.738956
2,0,-0.469880,0.734940
2,0,-0.461847,0.730924
2,0,-0.453815,0.726908
2,0,-0.445783,0.722892
2,0,-0.437751,0.718876
2,0,-0.429719,0.714859
2,0,-0.421687,0.710843
2,0,-0.413655,0.706827
2,0,-0.405622,0.702811
2,0,-0.397590,0.698795
2,0,-0.389558,0.694779
2,0,-0.381526,0.690763
2,0,-0.373494,0.686747
2,0,-0.365462,0.682731
2,0,-0.357430,0.678715
2,0,-0.349398,0.674699
2,0,-0.341365,0.670683
2,0,-0.333333,0.666667
2,0,-0.325301,0.662651
2,0,-0.317269,0.658635
2,0,-0.309237,0.654618
2,0,-0.301205,0.650602
2,0,-0.293173,0.646586
2,0,-0.285141,0.642570
2,0,-0.277108,0.638554
2,0,-0.269076,0.634538
2,0,-0.261044,0.630522
2,0,-0.253012,0.626506
2,0,-0.244980,0.622490
2,0,-0.236948,0.618474
2,0,-0.228916,0.614458
2,0,-0.220884,0.610442
2,0,-0.212851,0.606426
2,0,-0.204819,0.602410
2,0,-0.196787,0.598394
2,0,-0.188755,0.594378
2,0,-0.180723,0.590361
2,0,-0.172691,0.586345
2,0,-0.164659,0.582329
2,0,-0.156627,0.578313
2,0,-0.148594,0.574297
2,0,-0.140562,0.570281
2,0,-0.132530,0.566265
2,0,-0.124498,0.562249
2,0,-0.116466,0.558233
2,0,-0.108434,0.554217
2,0,-0.100402,0.550201
2,0,-0.092369,0.546185
2,0,-0.084337,0.542169
2,0,-0.076305,0.538153
2,0,-0.068273,0.534137
2,0,-0.060241,0.530120
2,0,-0.052209,0.526104
2,0,-0.044177,0.522088
2,0,-0.036145,0.518072
2,0,-0.028112,0.514056
2,0,-0.020080,0.510040
2,0,-0.012048,0.506024
2,0,-0.004016,0.502008
2,0,0.004016,0.497992
2,0,0.012048,0.493976
2,0,0.020080,0.489960
2,0,0.028112,0.485944
2,0,0.036145,0.481928
2,0,0.044177,0.477912
2,0,0.052209,0.473896
2,0,0.060241,0.469880
2,0,0.068273,0.465863
2,0,0.076305,0.461847
2,0,0.084337,0.457831
2,0,0.092369,0.453815
2,0,0.100402,0.449799
2,0,0.108434,0.445783
2,0,0.116466,0.441767
2,0,0.124498,0.437751
2,0,0.132530,0.433735
2,0,0.140562,0.429719
2,0,0.148594,0.425703
2,0,0.156627,0.421687
2,0,0.164659,0.417671
2,0,0.172691,0.413655
2,0,0.180723,0.409639
2,0,0.188755,0.405622
2,0,0.196787,0.401606
2,0,0.204819,0.397590
2,0,0.212851,0.393574
2,0,0.220884,0.389558
2,0,0.228916,0.385542
