num_element_nodes,num_elements,x,y
2,1,0.000000,3.375000
2,1,10.000000,3.000000
2,2,0.000000,3.444714
2,2,5.000000,2.850547
2,2,10.000000,3.000000
2,3,0.000000,3.457315
2,3,3.333333,2.973767
2,3,6.666667,2.826872
2,3,10.000000,3.000000
2,4,0.000000,3.461711
2,4,2.500000,3.065765
2,4,5.000000,2.863446
2,4,7.500000,2.841976
2,4,10.000000,3.000000
2,5,0.000000,3.463742
2,5,2.000000,3.130798
2,5,4.000000,2.923925
2,5,6.000000,2.834795
2,5,8.000000,2.859817
2,5,10.000000,3.000000
2,6,0.000000,3.464846
2,6,1.666667,3.178309
2,6,3.333333,2.980468
2,6,5.000000,2.865804
2,6,6.666667,2.831116
2,6,8.333333,2.875436
2,6,10.000000,3.000000
2,7,0.000000,3.465511
2,7,1.428571,3.214304
2,7,2.857143,3.028920
2,7,4.285714,2.905561
2,7,5.714286,2.841702
2,7,7.142857,2.836034
2,7,8.571429,2.888443
2,7,10.000000,3.000000
2,8,0.000000,3.465942
2,8,1.250000,3.242438
2,8,2.500000,3.069729
2,8,3.750000,2.945109
2,8,5.000000,2.866628
2,8,6.250000,2.833054
2,8,7.500000,2.843862
2,8,8.750000,2.899222
2,8,10.000000,3.000000
3,1,0.000000,3.466859
3,1,5.000000,2.865994
3,1,10.000000,3.000000
3,2,0.000000,3.467315
3,2,2.500000,3.070936
3,2,5.000000,2.867698
3,2,7.500000,2.844402
3,2,10.000000,3.000000
3,3,0.000000,3.467344
3,3,1.666667,3.180718
3,3,3.333333,2.982692
3,3,5.000000,2.867668
3,3,6.666667,2.832524
3,3,8.333333,2.876203
3,3,10.000000,3.000000
3,4,0.000000,3.467349
3,4,1.250000,3.243816
3,4,2.500000,3.071046
3,4,3.750000,2.946312
3,4,5.000000,2.867685
3,4,6.250000,2.833913
3,4,7.500000,2.844489
3,4,8.750000,2.899556
3,4,10.000000,3.000000
3,5,0.000000,3.467350
3,5,1.000000,3.284365
3,5,2.000000,3.134257
3,5,3.000000,3.015513
